FileID,Northing (m),Easting (m),TVDSS (m),Umin (m),Uint (m),Umax (m),Azimuth Umax (deg),Elevation Umax (deg),relative ot (s),Confidence Index,SNR mean P,SNR mean S,Mw P,Mw S,Mw (calibrated),,
20230719_014658.140,4263042.58,335728.59,869.90,12.74,17.39,23.62,91.29,89.29,2.478,42,87,35,1.27,0.93,-0.05,,
20230719_015052.760,4262991.17,335719.40,731.85,7.83,11.25,14.36,39.35,65.79,2.495,37,55,22,0.84,0.69,-0.38,,
20230719_015140.420,4263028.67,335723.65,868.96,14.76,15.67,22.82,272.74,91.69,2.399,36,46,23,0.96,0.74,-0.30,,
20230719_021049.840,4263126.98,335689.43,637.57,8.63,12.08,25.36,270.81,90.16,2.452,20,15,12,0.43,0.41,-0.73,,
20230719_021757.860,4263034.45,335726.09,870.74,14.62,15.16,22.67,274.55,88.13,2.475,37,77,26,1.28,0.73,-0.15,,
20230719_022127.800,4263127.22,335749.44,653.38,18.43,18.90,30.46,89.62,91.95,2.476,53,60,28,0.86,0.80,-0.32,,
20230719_022252.220,4263092.74,335761.22,698.92,14.80,15.05,36.22,89.68,91.01,2.460,55,50,39,1.04,0.93,-0.17,,
20230719_023754.260,4263115.61,335678.36,647.75,11.20,15.01,35.81,89.40,92.46,2.535,48,30,33,0.89,0.73,-0.34,,
20230719_025343.140,4263030.63,335653.35,811.63,16.73,18.41,21.78,312.99,5.76,2.481,25,22,12,0.45,0.39,-0.73,,
20230719_025648.380,4262960.20,335662.33,694.90,15.50,16.32,46.13,262.57,83.31,2.486,27,23,19,0.64,0.68,-0.49,,
20230719_025836.060,4263128.59,335741.70,675.55,12.55,14.81,25.95,270.62,91.44,2.510,45,41,25,0.76,0.71,-0.41,,
20230719_025842.080,4263100.25,335730.42,674.45,13.09,13.83,30.07,269.71,89.74,2.516,59,57,58,1.06,0.97,-0.13,,
20230719_030249.180,4263060.94,335744.95,715.87,8.90,11.39,23.70,89.85,90.05,2.466,34,47,24,0.82,0.69,-0.39,,
20230719_030929.320,4263115.06,335737.46,678.69,13.77,16.16,43.64,89.13,92.00,2.522,43,43,21,0.57,0.63,-0.55,,
20230719_030953.040,4263115.30,335738.75,679.92,13.29,15.03,43.59,269.86,88.51,2.471,45,47,26,0.64,0.73,-0.46,,
20230719_031236.560,4263128.57,335749.32,682.34,15.01,15.34,36.98,89.58,91.49,2.483,67,30,50,1.05,1.06,-0.10,,
20230719_031715.160,4263072.75,335655.05,649.25,11.59,12.38,41.60,271.09,89.46,2.504,64,41,71,1.01,0.98,-0.15,,
20230719_031752.460,4263034.38,335635.84,653.75,14.82,16.53,27.20,272.51,87.13,2.454,27,12,11,0.25,0.44,-0.80,,
20230719_032930.400,4263164.62,335679.12,596.61,11.82,17.74,31.64,272.24,89.51,2.504,54,60,60,0.89,0.99,-0.21,,
20230719_032951.960,4263084.26,335753.18,716.59,15.06,16.83,42.85,270.45,88.45,2.444,45,37,22,0.81,0.74,-0.37,,
20230719_034045.220,4263153.43,335695.23,601.63,14.71,18.70,33.87,275.19,93.27,2.479,42,76,32,1.27,0.77,-0.13,,
20230719_034908.440,4263103.04,335760.46,705.58,11.91,13.46,23.98,270.02,90.04,2.447,46,70,39,1.05,0.82,-0.22,,
20230719_034956.660,4263136.88,335575.06,596.51,11.78,14.20,29.47,62.52,85.51,2.487,22,16,10,0.34,0.52,-0.72,,
20230719_035325.460,4263128.91,335745.72,659.41,12.66,15.54,30.61,271.47,90.63,2.479,34,37,16,0.79,0.74,-0.38,,
20230719_035436.600,4263112.20,335740.99,689.70,11.82,13.47,43.48,269.97,88.95,2.484,55,56,44,0.99,0.91,-0.20,,
20230719_035957.680,4263154.94,335754.43,642.55,7.00,12.06,43.68,270.75,89.37,2.463,31,48,27,1.26,0.73,-0.16,,
20230719_040051.760,4263098.69,335757.09,703.62,13.27,14.59,23.98,270.00,90.02,2.550,45,42,28,1.10,0.86,-0.17,,
20230719_040055.300,4263109.03,335739.06,684.87,12.05,12.96,29.94,270.22,88.44,2.462,46,88,35,0.95,0.90,-0.23,,
20230719_040116.080,4263077.42,335727.20,683.55,12.27,12.30,35.09,90.81,90.81,2.483,53,56,60,1.04,1.18,-0.04,,
20230719_040132.780,4263095.25,335732.59,682.84,13.86,17.44,32.81,76.69,92.03,2.474,32,27,18,0.64,0.62,-0.52,,
20230719_040153.740,4263065.14,335744.12,707.64,12.11,13.16,32.60,273.20,89.10,2.485,42,74,43,0.93,0.90,-0.24,,
20230719_040253.400,4263122.08,335733.01,658.67,13.29,16.80,23.57,89.96,90.10,2.486,43,52,34,0.94,0.95,-0.21,,
20230719_040433.560,4263114.47,335666.71,670.73,12.45,15.09,25.24,271.47,91.06,2.514,35,21,21,0.60,0.66,-0.52,,
20230719_041155.580,4263063.44,335720.14,681.04,12.09,15.13,38.12,273.39,88.73,2.484,30,22,16,0.67,0.73,-0.45,,
20230719_041343.440,4263094.90,335731.91,671.19,12.49,14.01,42.10,270.83,89.00,2.492,45,52,38,0.93,0.89,-0.24,,
20230719_041710.280,4263090.30,335748.68,724.32,12.76,13.03,29.47,271.43,90.35,2.481,56,37,64,1.24,1.28,0.11,,
20230719_042002.020,4263030.12,335631.93,652.26,14.24,14.70,26.83,78.14,90.81,2.466,30,15,16,0.28,0.43,-0.80,,
